City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
229,Mount Isa,AU,78.57,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
232,Geraldton,AU,61.21,clear sky,-28.7667,114.6,Broadwater Mariner Resort
233,Port Shepstone,ZA,71.46,clear sky,-30.7414,30.455,My Den Beachfront Bed and Breakfast | Self-Catering
235,Tocopilla,CL,70.65,few clouds,-22.092,-70.1979,Hotel Galvarino
237,Betul,IN,61.92,scattered clouds,21.9153,77.8961,STARiHotel Betul MP
238,Fortuna,US,63.86,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
240,Springbok,ZA,71.8,clear sky,-29.6643,17.8865,Undulata Country Lodge
241,Muriti,TZ,73.54,light rain,-1.9833,32.9167,
244,Natal,BR,83.05,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
245,Lucapa,AO,65.68,overcast clouds,-8.4192,20.7447,Residência Ulisses Dos Santos
248,Amapa,BR,72.14,overcast clouds,1.0,-52.0,
249,Los Algarrobos,PA,84.61,scattered clouds,8.5,-82.4333,Waterfall Hostel
250,San Luis,AR,82.0,clear sky,-33.295,-66.3356,Huarpes Hotel
253,Anloga,GH,82.62,scattered clouds,5.7947,0.8973,Pin Drop Hotel
254,Rantepao,ID,68.11,overcast clouds,-2.9701,119.8978,Hotel Luta Resort
256,San Quintin,MX,68.05,clear sky,30.4833,-115.95,Don Eddie's Landing
263,Morgan City,US,61.0,clear sky,29.6994,-91.2068,Hampton Inn & Suites Morgan City
264,Wewak,PG,81.54,very heavy rain,-3.5534,143.6268,In Wewak Boutique Hotel
267,Alibag,IN,71.67,broken clouds,18.6411,72.8792,"Radisson Blu Resort & Spa - Alibaug, India"
268,Ukiah,US,81.37,clear sky,39.1502,-123.2078,Hampton Inn Ukiah
269,Trincomalee,LK,79.11,overcast clouds,8.5711,81.2335,Welcombe Hotel
270,Basco,PH,73.67,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
273,Oranjemund,,64.76,clear sky,-28.55,16.4333,The Fisherman's Cove
275,Victoria,HK,61.32,overcast clouds,22.2855,114.1577,Mini Hotel Central
278,Praia,CV,70.34,clear sky,14.9215,-23.5087,LT Aparthotel
279,Bagotville,AU,73.63,clear sky,-28.9833,153.4167,Broadwater Sunrise Caravan Park
282,San Francisco,US,75.43,clear sky,37.7749,-122.4194,The Clift Royal Sonesta Hotel
283,Contamana,PE,77.14,broken clouds,-7.3333,-75.0167,Shiringal Touristic Park
286,Padang,ID,76.42,overcast clouds,-0.9492,100.3543,Mercure Padang
289,Sinnamary,GF,77.29,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
291,Pontalina,BR,69.69,heavy intensity rain,-17.525,-49.4472,Hotel Entre Rios
293,Port-Gentil,GA,80.64,broken clouds,-0.7193,8.7815,Fengshui Residence
294,Sokoto,NG,72.95,scattered clouds,13.0609,5.239,Giginya Coral Hotel
295,Moctezuma,MX,70.9,clear sky,29.8,-109.6667,Hotel Lobohombo
297,Atar,MR,74.25,broken clouds,20.5169,-13.0499,Oumou Elghoura
298,Manzanillo,CU,77.88,broken clouds,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
300,Kalemie,CD,69.6,light rain,-5.9475,29.1947,Mahobilali
301,Ngunguru,NZ,75.16,broken clouds,-35.6167,174.5,Pacific Rendezvous Motel Resort
304,North Bend,US,62.24,haze,43.4065,-124.2243,Red Lion Hotel Coos Bay
306,Puerto Quijarro,BO,77.45,overcast clouds,-17.7833,-57.7667,Hotel palance
307,Wajid,SO,76.32,overcast clouds,3.8093,43.2471,xamdihotelresturant114
309,Torit,SS,79.21,few clouds,4.4133,32.5678,Diplomat Guest House
310,Fare,PF,81.84,broken clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
311,Qui Nhon,VN,72.82,scattered clouds,13.7667,109.2333,Hoang Yen Canary Hotel
313,Drexel Heights,US,73.62,clear sky,32.1412,-111.0284,Rincon Country West RV Resort
318,Srivardhan,IN,66.49,few clouds,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
319,Malakal,SS,76.91,scattered clouds,9.5334,31.6605,Nile Palace Hotel
320,Panama City,PA,89.17,few clouds,8.9936,-79.5197,Riande Urban Hotel
322,Isangel,VU,82.51,moderate rain,-19.55,169.2667,Tanna Lodge
323,Honiara,SB,78.48,overcast clouds,-9.4333,159.95,Heritage Park Hotel
324,Veraval,IN,66.22,clear sky,20.9,70.3667,Lords Inn Somnath
325,Jaru,BR,75.07,overcast clouds,-10.4389,-62.4664,Hotel Paraná
330,Yulara,AU,76.84,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
331,Mount Gambier,AU,66.11,broken clouds,-37.8333,140.7667,The Commodore
332,Dubreka,GN,82.47,overcast clouds,9.7911,-13.5233,Hôtel le Semeur Chez Eva
333,Kurri Kurri,AU,74.41,clear sky,-32.8167,151.4833,Kurri Motor Inn
334,Sangmelima,CM,65.66,scattered clouds,2.9333,11.9833,gamestar hotel
335,Puerto Narino,CO,80.55,heavy intensity rain,-3.7703,-70.3831,Eware Refugio Amazonico
341,Pandan,PH,77.41,overcast clouds,14.0453,124.1694,Bonifacio Lodge
342,Siguiri,GN,76.1,overcast clouds,11.6667,-9.5,
343,Camacha,PT,63.36,few clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
344,Port Macquarie,AU,67.96,clear sky,-31.4333,152.9167,Rydges Port Macquarie
348,Formosa,AR,87.78,clear sky,-26.1775,-58.1781,Hotel Portal del Sol
351,Tsogni,GA,76.41,overcast clouds,-2.7942,10.0988,
352,Aden,YE,76.66,scattered clouds,12.7794,45.0367,Sama Emirate Hotel
353,Howard Springs,AU,80.87,overcast clouds,-12.497,131.047,buffalo beach hostel
355,Bambous Virieux,MU,75.45,broken clouds,-20.3428,57.7575,Casa Tia Villa
357,Pimenta Bueno,BR,74.59,overcast clouds,-11.6725,-61.1936,Cristalina Palace Hotel
358,Puerto Del Rosario,ES,71.35,clear sky,28.5004,-13.8627,Hotel JM Puerto del Rosario
360,Walvis Bay,,70.75,scattered clouds,-22.9575,14.5053,Oyster Box Guesthouse
362,Boende,CD,76.77,overcast clouds,-0.2167,20.8667,
363,Bima,ID,77.61,overcast clouds,-8.4667,118.7167,Lambitu Hotel
365,Abu Dhabi,AE,65.97,clear sky,24.4667,54.3667,Ramee Garden Hotel Apartments
367,Mitu,CO,72.27,heavy intensity rain,1.1983,-70.1733,
370,Kavieng,PG,82.69,light rain,-2.5744,150.7967,Nusa Island Retreat
371,Half Moon Bay,US,76.5,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
375,Mazagao,BR,84.25,few clouds,-0.115,-51.2894,Recanto dos Ferreiras
377,Ribeira Grande,PT,60.35,overcast clouds,38.5167,-28.7,Quinta da Meia Eira
378,Porto Belo,BR,76.95,clear sky,-27.1578,-48.5531,Costa Verde Beach Hotel
382,Dwarka,IN,69.26,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
383,Siavonga,ZM,72.54,scattered clouds,-16.5382,28.7088,Lavongora Waterfront Lodge
384,Le Port,RE,76.96,broken clouds,-20.9373,55.2919,KORBEY D'OR OUEST
389,Bongaree,AU,80.22,scattered clouds,-27.0797,153.1586,The Gums Anchorage
390,Brownsville,US,66.31,clear sky,25.9018,-97.4975,University Inn & Suites
392,Gurupi,BR,75.67,heavy intensity rain,-11.7292,-49.0686,Via Norte Hotel
394,Laguna,US,75.24,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
396,Garowe,SO,65.01,scattered clouds,8.4054,48.4845,Curubo Hotel
400,Lebu,CL,61.5,few clouds,-37.6167,-73.65,Hostal Las Lilas
401,Ternate,ID,79.59,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
403,Saurimo,AO,64.33,overcast clouds,-9.6608,20.3916,Hotel Kawissa Saurimo
405,Metro,ID,74.52,overcast clouds,-5.1131,105.3067,OYO 3177 Wisma Lintang
409,Tocache,PE,74.8,broken clouds,-8.1842,-76.5125,Hotel Ortiz
411,Marsh Harbour,BS,74.17,few clouds,26.5412,-77.0636,Abaco Beach Resort
413,Ballina,AU,73.78,clear sky,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
414,Ibra,OM,60.64,clear sky,22.6906,58.5334,مزرعة راحة النفوس المنزفة
417,San Cristobal,VE,77.18,broken clouds,7.7669,-72.225,Posada Villaven C.A.
419,Kano,NG,67.89,overcast clouds,12.0001,8.5167,Havana Guest Inn
420,Pitimbu,BR,81.19,clear sky,-7.4706,-34.8086,Reserva do Abiaí
421,Ulladulla,AU,75.67,clear sky,-35.35,150.4667,Sandpiper Motel
422,Airai,TL,63.97,overcast clouds,-8.9266,125.4092,
423,Palmar,CR,81.52,scattered clouds,9.8728,-84.4553,Casa Victoria y Anabella
431,Ozark,US,61.21,clear sky,37.0209,-93.206,Days Inn by Wyndham Ozark Springfield
432,Pochutla,MX,81.45,scattered clouds,15.7432,-96.4661,Hotel Posada San Jose
433,Byron Bay,AU,76.87,few clouds,-28.65,153.6167,Backpackers Inn
438,Chicama,PE,68.54,broken clouds,-7.8447,-79.1469,Balihai Bungalows
443,Kamina,CD,63.72,moderate rain,-8.7386,24.9906,Guest House Florvia
444,Morros,BR,79.56,overcast clouds,-9.4467,-46.3003,
445,Atmakur,IN,67.91,scattered clouds,15.8833,78.5833,Mee seva atk
446,Luderitz,,70.97,few clouds,-26.6481,15.1594,LÜDERITZ NEST HOTEL
447,Bafoulabe,ML,79.54,clear sky,13.8065,-10.8321,Logement du Chargé SIS Abdoul Karim Konaté
450,Pampa,US,60.84,clear sky,35.5362,-100.9599,"Holiday Inn Express & Suites Pampa, an IHG Hotel"
453,Lima,PE,70.14,moderate rain,-12.0432,-77.0282,Gran Hotel Bolivar Lima
456,Bengkulu,ID,76.51,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
457,Lavras,BR,67.08,overcast clouds,-21.2453,-44.9997,Hotel Ouro Lavras
461,Samarai,PG,82.78,scattered clouds,-10.6167,150.6667,Nuli Sapi
464,Moerai,PF,79.81,light rain,-22.4333,-151.3333,Le Manotel
467,Kawalu,ID,73.13,overcast clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
475,Coquimbo,CL,65.93,broken clouds,-29.9533,-71.3436,Hostel Del Puerto
476,Lubuk Pakam,ID,77.14,overcast clouds,3.5604,98.8767,OYO 2538 Hotel Anugerah
478,Wagar,SD,70.65,scattered clouds,16.1525,36.2032,
479,Tucurui,BR,75.9,overcast clouds,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
480,Tautira,PF,86.02,light rain,-17.7333,-149.15,Pension Oaoa
481,San Ramon,US,74.3,clear sky,37.7799,-121.978,San Ramon Marriott
485,Nanakuli,US,80.55,scattered clouds,21.3906,-158.1547,Camp Pālehua
486,Gao,ML,68.59,clear sky,16.6362,1.6369999999999998,
488,Port Antonio,JM,82.31,few clouds,18.18,-76.4612,The Trident Hotel
490,Dutlwe,BW,76.14,broken clouds,-23.9833,23.9,
492,Cayenne,GF,81.09,scattered clouds,4.9333,-52.3333,Hôtel Le Dronmi
493,Berbera,SO,74.53,clear sky,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
494,Kahului,US,83.46,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
495,Sola,VU,80.78,overcast clouds,-13.8833,167.55,Leumerus Bungalows
496,Bontang,ID,75.63,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
497,Poso,ID,76.95,overcast clouds,-1.3959,120.7524,Hotel 77 Poso
498,Niceville,US,61.38,clear sky,30.5169,-86.4822,Hampton Inn Niceville-Eglin Air Force Base
499,Ahipara,NZ,77.77,broken clouds,-35.1667,173.1667,Ahipara Holiday Park
502,Angoche,MZ,76.78,light rain,-16.2325,39.9086,Guest House HESADA
504,Cozumel,MX,78.94,broken clouds,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
510,Kabare,CD,61.84,broken clouds,-2.4683,28.8242,Hôtel Panorama
513,Tshikapa,CD,71.64,overcast clouds,-6.4167,20.8,Hôtel Tshia-Muntu de Tshikapa
514,Caravelas,BR,78.35,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
515,Agaro,ET,65.98,overcast clouds,7.85,36.65,
518,Nabire,ID,74.28,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
521,Alice Springs,AU,74.75,broken clouds,-23.7,133.8833,Desert Palms Alice Springs
522,Richards Bay,ZA,68.61,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
523,Sao Felix Do Xingu,BR,73.54,light rain,-6.6447,-51.995,Rio Xingu Camping
525,Puerto Baquerizo Moreno,EC,79.79,few clouds,-0.9,-89.6,Hotel los Algarrobos
526,Kaeo,NZ,75.33,broken clouds,-35.1,173.7833,Bushido Lodge
527,Tondano,ID,68.09,moderate rain,1.3038,124.9112,Villa Bella
531,Balabac,PH,80.33,overcast clouds,7.9868,117.0645,Batalla’s Lodging House
533,La Romana,DO,80.96,scattered clouds,18.4273,-68.9728,Casa de Campo Resort and Villas
534,Ancud,CL,65.73,broken clouds,-41.8697,-73.8203,Hotel Arena Gruesa
535,Vao,NC,80.91,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
538,Placido De Castro,BR,76.17,moderate rain,-10.3353,-67.1856,Hotel Carioca
539,Kampene,CD,67.19,light rain,-3.6,26.6667,
541,Bathsheba,BB,77.61,scattered clouds,13.2167,-59.5167,Atlantis Hotel
542,Bodden Town,KY,81.0,broken clouds,19.2833,-81.25,Will T Place
543,Bandarbeyla,SO,75.7,broken clouds,9.4942,50.8122,JABIR HOTEL
544,Bairiki,KI,86.0,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
545,Thanatpin,MM,66.38,scattered clouds,17.2119,96.3033,Lo Ta Ya Garden
547,Pacific Grove,US,77.58,clear sky,36.6177,-121.9166,Lovers Point Inn
549,Constitucion,CL,66.7,scattered clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
550,Cruzilia,BR,63.63,overcast clouds,-21.8386,-44.8083,Pousada Cruzília
555,Raymondville,US,70.38,clear sky,26.4815,-97.7831,La Quinta Inn & Suites by Wyndham Raymondville
556,Maceio,BR,80.04,clear sky,-9.6658,-35.7353,Poutur Pousada
557,Tadine,NC,82.26,overcast clouds,-21.55,167.8833,
559,Estacion Coahuila,MX,79.97,clear sky,32.1939,-115.0017,Hotel Las Cabañas
563,Wanaka,NZ,65.1,light rain,-44.7,169.15,Wanaka Homestead Lodge and Cottages
